"","x"
"200","ENSSSCG00000014015"
"201","ENSSSCG00000014190"
"202","ENSSSCG00000014203"
"203","ENSSSCG00000014257"
"204","ENSSSCG00000014339"
"205","ENSSSCG00000014366"
"206","ENSSSCG00000014399"
"207","ENSSSCG00000014447"
"208","ENSSSCG00000014570"
"209","ENSSSCG00000014840"
"210","ENSSSCG00000015035"
"211","ENSSSCG00000015036"
"212","ENSSSCG00000015049"
"213","ENSSSCG00000015144"
"214","ENSSSCG00000015199"
"215","ENSSSCG00000015205"
"216","ENSSSCG00000015246"
"217","ENSSSCG00000015250"
"218","ENSSSCG00000015290"
"219","ENSSSCG00000015314"
"220","ENSSSCG00000015427"
"221","ENSSSCG00000015482"
"222","ENSSSCG00000015549"
"223","ENSSSCG00000015563"
"224","ENSSSCG00000015592"
"225","ENSSSCG00000015604"
"226","ENSSSCG00000015660"
"227","ENSSSCG00000015924"
"228","ENSSSCG00000015969"
"229","ENSSSCG00000016059"
"230","ENSSSCG00000016189"
"231","ENSSSCG00000016199"
"232","ENSSSCG00000016216"
"233","ENSSSCG00000016220"
"234","ENSSSCG00000016335"
"235","ENSSSCG00000016340"
"236","ENSSSCG00000016444"
"237","ENSSSCG00000016574"
"238","ENSSSCG00000016579"
"239","ENSSSCG00000016664"
"240","ENSSSCG00000016674"
"241","ENSSSCG00000016691"
"242","ENSSSCG00000017005"
"243","ENSSSCG00000017091"
"244","ENSSSCG00000017101"
"245","ENSSSCG00000017131"
"246","ENSSSCG00000017177"
"247","ENSSSCG00000017181"
"248","ENSSSCG00000017238"
"249","ENSSSCG00000017540"
"250","ENSSSCG00000017667"
"251","ENSSSCG00000017668"
"252","ENSSSCG00000017896"
"253","ENSSSCG00000017906"
"254","ENSSSCG00000017927"
"255","ENSSSCG00000017988"
"256","ENSSSCG00000018007"
"257","ENSSSCG00000020462"
"258","ENSSSCG00000021059"
"259","ENSSSCG00000021158"
"260","ENSSSCG00000021218"
"261","ENSSSCG00000021688"
"262","ENSSSCG00000021880"
"263","ENSSSCG00000021890"
"264","ENSSSCG00000021971"
"265","ENSSSCG00000022060"
"266","ENSSSCG00000022247"
"267","ENSSSCG00000022483"
"268","ENSSSCG00000022525"
"269","ENSSSCG00000022553"
"270","ENSSSCG00000023057"
"271","ENSSSCG00000023130"
"272","ENSSSCG00000023160"
"273","ENSSSCG00000023178"
"274","ENSSSCG00000023325"
"275","ENSSSCG00000023933"
"276","ENSSSCG00000023975"
"277","ENSSSCG00000024325"
"278","ENSSSCG00000024545"
"279","ENSSSCG00000024610"
"280","ENSSSCG00000024633"
"281","ENSSSCG00000024771"
"282","ENSSSCG00000024917"
"283","ENSSSCG00000025126"
"284","ENSSSCG00000025133"
"285","ENSSSCG00000025270"
"286","ENSSSCG00000025271"
"287","ENSSSCG00000025295"
"288","ENSSSCG00000025323"
"289","ENSSSCG00000025353"
"290","ENSSSCG00000025455"
"291","ENSSSCG00000025537"
"292","ENSSSCG00000025568"
"293","ENSSSCG00000025806"
"294","ENSSSCG00000025879"
"295","ENSSSCG00000026155"
"296","ENSSSCG00000026229"
"297","ENSSSCG00000026257"
"298","ENSSSCG00000026427"
"299","ENSSSCG00000026680"
"300","ENSSSCG00000026689"
"301","ENSSSCG00000026733"
"302","ENSSSCG00000026789"
"303","ENSSSCG00000026850"
"304","ENSSSCG00000026945"
"305","ENSSSCG00000027302"
"306","ENSSSCG00000027548"
"307","ENSSSCG00000027684"
"308","ENSSSCG00000027709"
"309","ENSSSCG00000027890"
"310","ENSSSCG00000028112"
"311","ENSSSCG00000028350"
"312","ENSSSCG00000028387"
"313","ENSSSCG00000028431"
"314","ENSSSCG00000028446"
"315","ENSSSCG00000028572"
"316","ENSSSCG00000028581"
"317","ENSSSCG00000028662"
"318","ENSSSCG00000028691"
"319","ENSSSCG00000028696"
"320","ENSSSCG00000028740"
"321","ENSSSCG00000028858"
"322","ENSSSCG00000029061"
"323","ENSSSCG00000029189"
"324","ENSSSCG00000029339"
"325","ENSSSCG00000029388"
"326","ENSSSCG00000029392"
"327","ENSSSCG00000029408"
"328","ENSSSCG00000029553"
"329","ENSSSCG00000029752"
"330","ENSSSCG00000029763"
"331","ENSSSCG00000030209"
"332","ENSSSCG00000030361"
"333","ENSSSCG00000030603"
"334","ENSSSCG00000031053"
"335","ENSSSCG00000031088"
"336","ENSSSCG00000031166"
"337","ENSSSCG00000031346"
"338","ENSSSCG00000031487"
"339","ENSSSCG00000031493"
"340","ENSSSCG00000031589"
"341","ENSSSCG00000031793"
"342","ENSSSCG00000031981"
"343","ENSSSCG00000032213"
"344","ENSSSCG00000032266"
"345","ENSSSCG00000032282"
"346","ENSSSCG00000032381"
"347","ENSSSCG00000032383"
"348","ENSSSCG00000032443"
"349","ENSSSCG00000032452"
"350","ENSSSCG00000032676"
"351","ENSSSCG00000032687"
"352","ENSSSCG00000033003"
"353","ENSSSCG00000033018"
