"","x"
"873","ENSSSCG00000009561"
"874","ENSSSCG00000009626"
"875","ENSSSCG00000009667"
"876","ENSSSCG00000009676"
"877","ENSSSCG00000009754"
"878","ENSSSCG00000010077"
"879","ENSSSCG00000010102"
"880","ENSSSCG00000010165"
"881","ENSSSCG00000010317"
"882","ENSSSCG00000010341"
"883","ENSSSCG00000010381"
"884","ENSSSCG00000010447"
"885","ENSSSCG00000010506"
"886","ENSSSCG00000010581"
"887","ENSSSCG00000010665"
"888","ENSSSCG00000010762"
"889","ENSSSCG00000011205"
"890","ENSSSCG00000011387"
"891","ENSSSCG00000011640"
"892","ENSSSCG00000011689"
"893","ENSSSCG00000011693"
"894","ENSSSCG00000011918"
"895","ENSSSCG00000011940"
"896","ENSSSCG00000011973"
"897","ENSSSCG00000012842"
"898","ENSSSCG00000012909"
"899","ENSSSCG00000012934"
"900","ENSSSCG00000012993"
"901","ENSSSCG00000013042"
"902","ENSSSCG00000013049"
"903","ENSSSCG00000013300"
"904","ENSSSCG00000013350"
"905","ENSSSCG00000013375"
"906","ENSSSCG00000013444"
"907","ENSSSCG00000013604"
"908","ENSSSCG00000013650"
"909","ENSSSCG00000013721"
"910","ENSSSCG00000013767"
"911","ENSSSCG00000013897"
"912","ENSSSCG00000014039"
"913","ENSSSCG00000014066"
"914","ENSSSCG00000014110"
"915","ENSSSCG00000014274"
"916","ENSSSCG00000014287"
"917","ENSSSCG00000014426"
"918","ENSSSCG00000014448"
"919","ENSSSCG00000014818"
"920","ENSSSCG00000014827"
"921","ENSSSCG00000014861"
"922","ENSSSCG00000014875"
"923","ENSSSCG00000015039"
"924","ENSSSCG00000015084"
"925","ENSSSCG00000015090"
"926","ENSSSCG00000015091"
"927","ENSSSCG00000015126"
"928","ENSSSCG00000015241"
"929","ENSSSCG00000015299"
"930","ENSSSCG00000015328"
"931","ENSSSCG00000015371"
"932","ENSSSCG00000015747"
"933","ENSSSCG00000015801"
"934","ENSSSCG00000015821"
"935","ENSSSCG00000015923"
"936","ENSSSCG00000016157"
"937","ENSSSCG00000016201"
"938","ENSSSCG00000016263"
"939","ENSSSCG00000016285"
"940","ENSSSCG00000016331"
"941","ENSSSCG00000016400"
"942","ENSSSCG00000016443"
"943","ENSSSCG00000016450"
"944","ENSSSCG00000016504"
"945","ENSSSCG00000016659"
"946","ENSSSCG00000016671"
"947","ENSSSCG00000016728"
"948","ENSSSCG00000016733"
"949","ENSSSCG00000016742"
"950","ENSSSCG00000016746"
"951","ENSSSCG00000016751"
"952","ENSSSCG00000016831"
"953","ENSSSCG00000016923"
"954","ENSSSCG00000017069"
"955","ENSSSCG00000017120"
"956","ENSSSCG00000017135"
"957","ENSSSCG00000017156"
"958","ENSSSCG00000017163"
"959","ENSSSCG00000017340"
"960","ENSSSCG00000017433"
"961","ENSSSCG00000017458"
"962","ENSSSCG00000017470"
"963","ENSSSCG00000017490"
"964","ENSSSCG00000017734"
"965","ENSSSCG00000017737"
"966","ENSSSCG00000017790"
"967","ENSSSCG00000017980"
"968","ENSSSCG00000018050"
"969","ENSSSCG00000018524"
"970","ENSSSCG00000020173"
"971","ENSSSCG00000020780"
"972","ENSSSCG00000021026"
"973","ENSSSCG00000021374"
"974","ENSSSCG00000021696"
"975","ENSSSCG00000021745"
"976","ENSSSCG00000021755"
"977","ENSSSCG00000021764"
"978","ENSSSCG00000022035"
"979","ENSSSCG00000022258"
"980","ENSSSCG00000022395"
"981","ENSSSCG00000022492"
"982","ENSSSCG00000022614"
"983","ENSSSCG00000022657"
"984","ENSSSCG00000022671"
"985","ENSSSCG00000022675"
"986","ENSSSCG00000022891"
"987","ENSSSCG00000023018"
"988","ENSSSCG00000023243"
"989","ENSSSCG00000023272"
"990","ENSSSCG00000023280"
"991","ENSSSCG00000023318"
"992","ENSSSCG00000023374"
"993","ENSSSCG00000023550"
"994","ENSSSCG00000023920"
"995","ENSSSCG00000024009"
"996","ENSSSCG00000024058"
"997","ENSSSCG00000024067"
"998","ENSSSCG00000024092"
"999","ENSSSCG00000024158"
"1000","ENSSSCG00000024396"
"1001","ENSSSCG00000024424"
"1002","ENSSSCG00000024488"
"1003","ENSSSCG00000024669"
"1004","ENSSSCG00000024685"
"1005","ENSSSCG00000024743"
"1006","ENSSSCG00000024759"
"1007","ENSSSCG00000024892"
"1008","ENSSSCG00000025020"
"1009","ENSSSCG00000025052"
"1010","ENSSSCG00000025116"
"1011","ENSSSCG00000025128"
"1012","ENSSSCG00000025534"
"1013","ENSSSCG00000025647"
"1014","ENSSSCG00000025793"
"1015","ENSSSCG00000025858"
"1016","ENSSSCG00000026067"
"1017","ENSSSCG00000026345"
"1018","ENSSSCG00000026425"
"1019","ENSSSCG00000026517"
"1020","ENSSSCG00000026597"
"1021","ENSSSCG00000026983"
"1022","ENSSSCG00000026985"
"1023","ENSSSCG00000027176"
"1024","ENSSSCG00000027280"
"1025","ENSSSCG00000027322"
"1026","ENSSSCG00000027801"
"1027","ENSSSCG00000027991"
"1028","ENSSSCG00000028115"
"1029","ENSSSCG00000028157"
"1030","ENSSSCG00000028201"
"1031","ENSSSCG00000028334"
"1032","ENSSSCG00000028661"
"1033","ENSSSCG00000028768"
"1034","ENSSSCG00000029034"
"1035","ENSSSCG00000029130"
"1036","ENSSSCG00000029239"
"1037","ENSSSCG00000029334"
"1038","ENSSSCG00000029503"
"1039","ENSSSCG00000029744"
"1040","ENSSSCG00000029960"
"1041","ENSSSCG00000030371"
"1042","ENSSSCG00000030561"
"1043","ENSSSCG00000030903"
"1044","ENSSSCG00000031031"
"1045","ENSSSCG00000031324"
"1046","ENSSSCG00000031345"
"1047","ENSSSCG00000031865"
"1048","ENSSSCG00000032115"
"1049","ENSSSCG00000032299"
"1050","ENSSSCG00000032407"
"1051","ENSSSCG00000032436"
"1052","ENSSSCG00000032591"
"1053","ENSSSCG00000032643"
"1054","ENSSSCG00000032662"
"1055","ENSSSCG00000032721"
"1056","ENSSSCG00000032731"
"1057","ENSSSCG00000033178"
"1058","ENSSSCG00000033193"
"1059","ENSSSCG00000033229"
"1060","ENSSSCG00000033260"
"1061","ENSSSCG00000033375"
"1062","ENSSSCG00000033590"
"1063","ENSSSCG00000033702"
"1064","ENSSSCG00000033740"
"1065","ENSSSCG00000033880"
"1066","ENSSSCG00000034040"
"1067","ENSSSCG00000034154"
"1068","ENSSSCG00000034211"
"1069","ENSSSCG00000034356"
"1070","ENSSSCG00000034473"
"1071","ENSSSCG00000034695"
"1072","ENSSSCG00000034773"
"1073","ENSSSCG00000034989"
"1074","ENSSSCG00000035083"
"1075","ENSSSCG00000035253"
"1076","ENSSSCG00000035445"
"1077","ENSSSCG00000035511"
"1078","ENSSSCG00000035634"
"1079","ENSSSCG00000035729"
"1080","ENSSSCG00000035785"
"1081","ENSSSCG00000035993"
"1082","ENSSSCG00000036117"
"1083","ENSSSCG00000036244"
"1084","ENSSSCG00000036352"
"1085","ENSSSCG00000036403"
"1086","ENSSSCG00000036443"
"1087","ENSSSCG00000036487"
"1088","ENSSSCG00000036503"
"1089","ENSSSCG00000036504"
"1090","ENSSSCG00000036566"
"1091","ENSSSCG00000036575"
"1092","ENSSSCG00000036731"
"1093","ENSSSCG00000036844"
"1094","ENSSSCG00000036987"
"1095","ENSSSCG00000037039"
"1096","ENSSSCG00000037140"
"1097","ENSSSCG00000037154"
"1098","ENSSSCG00000037238"
"1099","ENSSSCG00000037508"
"1100","ENSSSCG00000037562"
"1101","ENSSSCG00000037566"
"1102","ENSSSCG00000037684"
"1103","ENSSSCG00000037789"
"1104","ENSSSCG00000037806"
"1105","ENSSSCG00000037847"
"1106","ENSSSCG00000038067"
"1107","ENSSSCG00000038221"
"1108","ENSSSCG00000038338"
"1109","ENSSSCG00000038523"
"1110","ENSSSCG00000038580"
"1111","ENSSSCG00000038600"
"1112","ENSSSCG00000038688"
"1113","ENSSSCG00000038991"
"1114","ENSSSCG00000039013"
"1115","ENSSSCG00000039074"
"1116","ENSSSCG00000039194"
"1117","ENSSSCG00000039272"
"1118","ENSSSCG00000039710"
"1119","ENSSSCG00000039784"
"1120","ENSSSCG00000039836"
"1121","ENSSSCG00000040017"
"1122","ENSSSCG00000040035"
"1123","ENSSSCG00000040095"
"1124","ENSSSCG00000040464"
"1125","ENSSSCG00000040643"
"1126","ENSSSCG00000040663"
"1127","ENSSSCG00000040689"
"1128","ENSSSCG00000040714"
"1129","ENSSSCG00000040779"
"1130","ENSSSCG00000040850"
"1131","ENSSSCG00000040860"
"1132","ENSSSCG00000041501"
"1133","ENSSSCG00000041928"
"1134","ENSSSCG00000041935"
"1135","ENSSSCG00000042290"
"1136","ENSSSCG00000043188"
"1137","ENSSSCG00000043356"
"1138","ENSSSCG00000044541"
"1139","ENSSSCG00000044986"
"1140","ENSSSCG00000045128"
"1141","ENSSSCG00000045347"
"1142","ENSSSCG00000045348"
"1143","ENSSSCG00000045477"
"1144","ENSSSCG00000045482"
"1145","ENSSSCG00000045703"
"1146","ENSSSCG00000046005"
"1147","ENSSSCG00000046193"
"1148","ENSSSCG00000046681"
"1149","ENSSSCG00000046848"
"1150","ENSSSCG00000046854"
"1151","ENSSSCG00000047131"
"1152","ENSSSCG00000047421"
"1153","ENSSSCG00000047491"
"1154","ENSSSCG00000047570"
"1155","ENSSSCG00000047650"
"1156","ENSSSCG00000047770"
"1157","ENSSSCG00000048017"
"1158","ENSSSCG00000048217"
"1159","ENSSSCG00000048449"
"1160","ENSSSCG00000048647"
"1161","ENSSSCG00000049261"
"1162","ENSSSCG00000049300"
"1163","ENSSSCG00000049305"
"1164","ENSSSCG00000049501"
"1165","ENSSSCG00000049642"
"1166","ENSSSCG00000049737"
"1167","ENSSSCG00000050036"
"1168","ENSSSCG00000050056"
"1169","ENSSSCG00000050110"
"1170","ENSSSCG00000050137"
"1171","ENSSSCG00000050178"
"1172","ENSSSCG00000050209"
"1173","ENSSSCG00000050293"
"1174","ENSSSCG00000050351"
"1175","ENSSSCG00000050385"
"1176","ENSSSCG00000050689"
"1177","ENSSSCG00000051016"
"1178","ENSSSCG00000051252"
"1179","ENSSSCG00000051301"
"1180","ENSSSCG00000051635"
"1181","ENSSSCG00000000247"
"1182","ENSSSCG00000000433"
"1183","ENSSSCG00000000716"
"1184","ENSSSCG00000001414"
"1185","ENSSSCG00000001475"
"1186","ENSSSCG00000001513"
"1187","ENSSSCG00000001543"
"1188","ENSSSCG00000002020"
"1189","ENSSSCG00000002754"
"1190","ENSSSCG00000003139"
"1191","ENSSSCG00000003954"
"1192","ENSSSCG00000003965"
"1193","ENSSSCG00000004017"
"1194","ENSSSCG00000004487"
"1195","ENSSSCG00000004625"
"1196","ENSSSCG00000004717"
"1197","ENSSSCG00000004897"
"1198","ENSSSCG00000005169"
"1199","ENSSSCG00000005485"
"1200","ENSSSCG00000005501"
"1201","ENSSSCG00000005713"
"1202","ENSSSCG00000005767"
"1203","ENSSSCG00000005946"
"1204","ENSSSCG00000006335"
"1205","ENSSSCG00000006506"
"1206","ENSSSCG00000006510"
"1207","ENSSSCG00000006720"
"1208","ENSSSCG00000006866"
"1209","ENSSSCG00000007369"
"1210","ENSSSCG00000007454"
"1211","ENSSSCG00000007985"
"1212","ENSSSCG00000008266"
"1213","ENSSSCG00000008909"
"1214","ENSSSCG00000009351"
"1215","ENSSSCG00000009745"
"1216","ENSSSCG00000009870"
"1217","ENSSSCG00000010006"
"1218","ENSSSCG00000010494"
"1219","ENSSSCG00000010650"
"1220","ENSSSCG00000011141"
"1221","ENSSSCG00000011360"
"1222","ENSSSCG00000011893"
"1223","ENSSSCG00000013227"
"1224","ENSSSCG00000013463"
"1225","ENSSSCG00000013883"
"1226","ENSSSCG00000014099"
"1227","ENSSSCG00000014369"
"1228","ENSSSCG00000014913"
"1229","ENSSSCG00000015108"
"1230","ENSSSCG00000015206"
"1231","ENSSSCG00000015868"
"1232","ENSSSCG00000016153"
"1233","ENSSSCG00000016245"
"1234","ENSSSCG00000017078"
"1235","ENSSSCG00000017094"
"1236","ENSSSCG00000017261"
"1237","ENSSSCG00000017359"
"1238","ENSSSCG00000017762"
"1239","ENSSSCG00000017793"
"1240","ENSSSCG00000017818"
"1241","ENSSSCG00000018029"
"1242","ENSSSCG00000018034"
"1243","ENSSSCG00000023604"
"1244","ENSSSCG00000024663"
"1245","ENSSSCG00000024784"
"1246","ENSSSCG00000025187"
"1247","ENSSSCG00000026044"
"1248","ENSSSCG00000026233"
"1249","ENSSSCG00000029035"
"1250","ENSSSCG00000029073"
"1251","ENSSSCG00000029865"
"1252","ENSSSCG00000030303"
"1253","ENSSSCG00000030565"
"1254","ENSSSCG00000031503"
"1255","ENSSSCG00000031664"
"1256","ENSSSCG00000031764"
"1257","ENSSSCG00000032116"
"1258","ENSSSCG00000032343"
"1259","ENSSSCG00000032434"
"1260","ENSSSCG00000033583"
"1261","ENSSSCG00000033946"
"1262","ENSSSCG00000034864"
"1263","ENSSSCG00000035387"
"1264","ENSSSCG00000035539"
"1265","ENSSSCG00000036248"
"1266","ENSSSCG00000036411"
"1267","ENSSSCG00000036855"
"1268","ENSSSCG00000037405"
"1269","ENSSSCG00000038255"
"1270","ENSSSCG00000038792"
"1271","ENSSSCG00000038842"
"1272","ENSSSCG00000039340"
"1273","ENSSSCG00000039797"
"1274","ENSSSCG00000039930"
"1275","ENSSSCG00000040838"
"1276","ENSSSCG00000040956"
"1277","ENSSSCG00000042807"
"1278","ENSSSCG00000043121"
"1279","ENSSSCG00000043418"
"1280","ENSSSCG00000046312"
"1281","ENSSSCG00000047928"
"1282","ENSSSCG00000048237"
"1283","ENSSSCG00000049630"
"1284","ENSSSCG00000049805"
"1285","ENSSSCG00000050060"
"1286","ENSSSCG00000000037"
"1287","ENSSSCG00000000940"
"1288","ENSSSCG00000000951"
"1289","ENSSSCG00000001436"
"1290","ENSSSCG00000002375"
"1291","ENSSSCG00000002963"
"1292","ENSSSCG00000003015"
"1293","ENSSSCG00000003464"
"1294","ENSSSCG00000003481"
"1295","ENSSSCG00000003670"
"1296","ENSSSCG00000004150"
"1297","ENSSSCG00000005441"
"1298","ENSSSCG00000005576"
"1299","ENSSSCG00000005627"
"1300","ENSSSCG00000006024"
"1301","ENSSSCG00000009007"
"1302","ENSSSCG00000009942"
"1303","ENSSSCG00000009979"
"1304","ENSSSCG00000010190"
"1305","ENSSSCG00000010259"
"1306","ENSSSCG00000010541"
"1307","ENSSSCG00000011560"
"1308","ENSSSCG00000011692"
"1309","ENSSSCG00000011904"
"1310","ENSSSCG00000012065"
"1311","ENSSSCG00000013088"
"1312","ENSSSCG00000013833"
"1313","ENSSSCG00000015320"
"1314","ENSSSCG00000016128"
"1315","ENSSSCG00000016884"
"1316","ENSSSCG00000017018"
"1317","ENSSSCG00000017696"
"1318","ENSSSCG00000017908"
"1319","ENSSSCG00000017962"
"1320","ENSSSCG00000021573"
"1321","ENSSSCG00000021968"
"1322","ENSSSCG00000022951"
"1323","ENSSSCG00000023187"
"1324","ENSSSCG00000024911"
"1325","ENSSSCG00000029186"
"1326","ENSSSCG00000030309"
"1327","ENSSSCG00000031228"
"1328","ENSSSCG00000031666"
"1329","ENSSSCG00000032574"
"1330","ENSSSCG00000033383"
"1331","ENSSSCG00000034449"
"1332","ENSSSCG00000035988"
"1333","ENSSSCG00000036705"
"1334","ENSSSCG00000037705"
"1335","ENSSSCG00000037918"
"1336","ENSSSCG00000039368"
"1337","ENSSSCG00000039582"
"1338","ENSSSCG00000040513"
"1339","ENSSSCG00000040559"
"1340","ENSSSCG00000040725"
"1341","ENSSSCG00000041002"
"1342","ENSSSCG00000042767"
"1343","ENSSSCG00000047048"
"1344","ENSSSCG00000049720"
"1345","ENSSSCG00000049915"
"1346","ENSSSCG00000050456"
"1347","ENSSSCG00000000253"
"1348","ENSSSCG00000000289"
"1349","ENSSSCG00000000361"
"1350","ENSSSCG00000000483"
"1351","ENSSSCG00000000496"
"1352","ENSSSCG00000000500"
"1353","ENSSSCG00000000515"
"1354","ENSSSCG00000000523"
"1355","ENSSSCG00000000982"
"1356","ENSSSCG00000001097"
"1357","ENSSSCG00000001421"
"1358","ENSSSCG00000001427"
"1359","ENSSSCG00000001440"
"1360","ENSSSCG00000001559"
"1361","ENSSSCG00000001664"
"1362","ENSSSCG00000001844"
"1363","ENSSSCG00000001939"
"1364","ENSSSCG00000002138"
"1365","ENSSSCG00000002389"
"1366","ENSSSCG00000002501"
"1367","ENSSSCG00000002504"
"1368","ENSSSCG00000002628"
"1369","ENSSSCG00000002907"
"1370","ENSSSCG00000002927"
"1371","ENSSSCG00000003069"
"1372","ENSSSCG00000003078"
"1373","ENSSSCG00000003096"
"1374","ENSSSCG00000003133"
"1375","ENSSSCG00000003161"
"1376","ENSSSCG00000003191"
"1377","ENSSSCG00000003233"
"1378","ENSSSCG00000003235"
"1379","ENSSSCG00000003251"
"1380","ENSSSCG00000003332"
"1381","ENSSSCG00000003578"
"1382","ENSSSCG00000003619"
"1383","ENSSSCG00000003622"
"1384","ENSSSCG00000003847"
"1385","ENSSSCG00000003951"
"1386","ENSSSCG00000003970"
"1387","ENSSSCG00000004016"
"1388","ENSSSCG00000004308"
"1389","ENSSSCG00000004388"
"1390","ENSSSCG00000004422"
"1391","ENSSSCG00000004558"
"1392","ENSSSCG00000004607"
"1393","ENSSSCG00000004896"
"1394","ENSSSCG00000005095"
"1395","ENSSSCG00000005166"
"1396","ENSSSCG00000005288"
"1397","ENSSSCG00000005593"
"1398","ENSSSCG00000005740"
"1399","ENSSSCG00000005894"
"1400","ENSSSCG00000005986"
"1401","ENSSSCG00000006308"
"1402","ENSSSCG00000006462"
"1403","ENSSSCG00000006625"
"1404","ENSSSCG00000006636"
"1405","ENSSSCG00000006737"
"1406","ENSSSCG00000006876"
"1407","ENSSSCG00000006935"
"1408","ENSSSCG00000007248"
"1409","ENSSSCG00000007385"
"1410","ENSSSCG00000007507"
"1411","ENSSSCG00000007511"
"1412","ENSSSCG00000007839"
"1413","ENSSSCG00000008029"
"1414","ENSSSCG00000008339"
"1415","ENSSSCG00000008546"
"1416","ENSSSCG00000008700"
"1417","ENSSSCG00000008842"
"1418","ENSSSCG00000008973"
"1419","ENSSSCG00000008984"
"1420","ENSSSCG00000009281"
"1421","ENSSSCG00000009372"
"1422","ENSSSCG00000009407"
"1423","ENSSSCG00000009856"
"1424","ENSSSCG00000009873"
"1425","ENSSSCG00000010010"
"1426","ENSSSCG00000010144"
"1427","ENSSSCG00000010375"
"1428","ENSSSCG00000010929"
"1429","ENSSSCG00000011004"
"1430","ENSSSCG00000011160"
"1431","ENSSSCG00000011246"
"1432","ENSSSCG00000011260"
"1433","ENSSSCG00000011410"
"1434","ENSSSCG00000011768"
"1435","ENSSSCG00000012087"
"1436","ENSSSCG00000012906"
"1437","ENSSSCG00000012950"
"1438","ENSSSCG00000012966"
"1439","ENSSSCG00000013390"
"1440","ENSSSCG00000013586"
"1441","ENSSSCG00000013747"
"1442","ENSSSCG00000013983"
"1443","ENSSSCG00000014221"
"1444","ENSSSCG00000014394"
"1445","ENSSSCG00000014876"
"1446","ENSSSCG00000015079"
"1447","ENSSSCG00000015200"
"1448","ENSSSCG00000015395"
"1449","ENSSSCG00000015494"
"1450","ENSSSCG00000015556"
"1451","ENSSSCG00000015618"
"1452","ENSSSCG00000015823"
"1453","ENSSSCG00000015985"
"1454","ENSSSCG00000016286"
"1455","ENSSSCG00000016295"
"1456","ENSSSCG00000016533"
"1457","ENSSSCG00000016573"
"1458","ENSSSCG00000016577"
"1459","ENSSSCG00000016635"
"1460","ENSSSCG00000016657"
"1461","ENSSSCG00000016668"
"1462","ENSSSCG00000016848"
"1463","ENSSSCG00000016869"
"1464","ENSSSCG00000017003"
"1465","ENSSSCG00000017220"
"1466","ENSSSCG00000017282"
"1467","ENSSSCG00000017313"
"1468","ENSSSCG00000017336"
"1469","ENSSSCG00000017358"
"1470","ENSSSCG00000017510"
"1471","ENSSSCG00000017534"
"1472","ENSSSCG00000017549"
"1473","ENSSSCG00000017636"
"1474","ENSSSCG00000017802"
"1475","ENSSSCG00000017862"
"1476","ENSSSCG00000018197"
"1477","ENSSSCG00000018462"
"1478","ENSSSCG00000018735"
"1479","ENSSSCG00000019942"
"1480","ENSSSCG00000021067"
"1481","ENSSSCG00000021222"
"1482","ENSSSCG00000021284"
"1483","ENSSSCG00000021910"
"1484","ENSSSCG00000022009"
"1485","ENSSSCG00000022187"
"1486","ENSSSCG00000022222"
"1487","ENSSSCG00000022405"
"1488","ENSSSCG00000022554"
"1489","ENSSSCG00000022592"
"1490","ENSSSCG00000022980"
"1491","ENSSSCG00000023537"
"1492","ENSSSCG00000023607"
"1493","ENSSSCG00000024119"
"1494","ENSSSCG00000024129"
"1495","ENSSSCG00000024492"
"1496","ENSSSCG00000024556"
"1497","ENSSSCG00000024867"
"1498","ENSSSCG00000025254"
"1499","ENSSSCG00000025294"
"1500","ENSSSCG00000025503"
"1501","ENSSSCG00000025629"
"1502","ENSSSCG00000025830"
"1503","ENSSSCG00000027124"
"1504","ENSSSCG00000027183"
"1505","ENSSSCG00000027206"
"1506","ENSSSCG00000027404"
"1507","ENSSSCG00000027480"
"1508","ENSSSCG00000027486"
"1509","ENSSSCG00000027607"
"1510","ENSSSCG00000027770"
"1511","ENSSSCG00000027779"
"1512","ENSSSCG00000027874"
"1513","ENSSSCG00000027970"
"1514","ENSSSCG00000028218"
"1515","ENSSSCG00000028346"
"1516","ENSSSCG00000028553"
"1517","ENSSSCG00000028883"
"1518","ENSSSCG00000029291"
"1519","ENSSSCG00000029464"
"1520","ENSSSCG00000029652"
"1521","ENSSSCG00000029709"
"1522","ENSSSCG00000029854"
"1523","ENSSSCG00000029968"
"1524","ENSSSCG00000030102"
"1525","ENSSSCG00000031365"
"1526","ENSSSCG00000031374"
"1527","ENSSSCG00000031633"
"1528","ENSSSCG00000032165"
"1529","ENSSSCG00000032196"
"1530","ENSSSCG00000032257"
"1531","ENSSSCG00000032469"
"1532","ENSSSCG00000032686"
"1533","ENSSSCG00000032843"
"1534","ENSSSCG00000032967"
"1535","ENSSSCG00000033194"
"1536","ENSSSCG00000033249"
"1537","ENSSSCG00000033282"
"1538","ENSSSCG00000033325"
"1539","ENSSSCG00000033858"
"1540","ENSSSCG00000034260"
"1541","ENSSSCG00000034390"
"1542","ENSSSCG00000034689"
"1543","ENSSSCG00000035066"
"1544","ENSSSCG00000035297"
"1545","ENSSSCG00000035711"
"1546","ENSSSCG00000035829"
"1547","ENSSSCG00000035833"
"1548","ENSSSCG00000035837"
"1549","ENSSSCG00000036362"
"1550","ENSSSCG00000036441"
"1551","ENSSSCG00000036523"
"1552","ENSSSCG00000036573"
"1553","ENSSSCG00000036669"
"1554","ENSSSCG00000036691"
"1555","ENSSSCG00000036796"
"1556","ENSSSCG00000036948"
"1557","ENSSSCG00000036964"
"1558","ENSSSCG00000037077"
"1559","ENSSSCG00000037260"
"1560","ENSSSCG00000037319"
"1561","ENSSSCG00000037450"
"1562","ENSSSCG00000037530"
"1563","ENSSSCG00000037826"
"1564","ENSSSCG00000037835"
"1565","ENSSSCG00000037892"
"1566","ENSSSCG00000038188"
"1567","ENSSSCG00000038283"
"1568","ENSSSCG00000038351"
"1569","ENSSSCG00000038508"
"1570","ENSSSCG00000038530"
"1571","ENSSSCG00000038602"
"1572","ENSSSCG00000038660"
"1573","ENSSSCG00000038786"
"1574","ENSSSCG00000038967"
"1575","ENSSSCG00000038989"
"1576","ENSSSCG00000039261"
"1577","ENSSSCG00000039286"
"1578","ENSSSCG00000039654"
"1579","ENSSSCG00000040053"
"1580","ENSSSCG00000040074"
"1581","ENSSSCG00000040193"
"1582","ENSSSCG00000040278"
"1583","ENSSSCG00000040329"
"1584","ENSSSCG00000040554"
"1585","ENSSSCG00000040586"
"1586","ENSSSCG00000040824"
"1587","ENSSSCG00000041175"
"1588","ENSSSCG00000041264"
"1589","ENSSSCG00000041281"
"1590","ENSSSCG00000041523"
"1591","ENSSSCG00000041724"
"1592","ENSSSCG00000041881"
"1593","ENSSSCG00000042089"
"1594","ENSSSCG00000042166"
"1595","ENSSSCG00000042173"
"1596","ENSSSCG00000042582"
"1597","ENSSSCG00000043109"
"1598","ENSSSCG00000043117"
"1599","ENSSSCG00000043311"
"1600","ENSSSCG00000043337"
"1601","ENSSSCG00000043395"
"1602","ENSSSCG00000043410"
"1603","ENSSSCG00000043453"
"1604","ENSSSCG00000043963"
"1605","ENSSSCG00000043968"
"1606","ENSSSCG00000044004"
"1607","ENSSSCG00000044344"
"1608","ENSSSCG00000044490"
"1609","ENSSSCG00000044690"
"1610","ENSSSCG00000045283"
"1611","ENSSSCG00000045539"
"1612","ENSSSCG00000045678"
"1613","ENSSSCG00000045882"
"1614","ENSSSCG00000046229"
"1615","ENSSSCG00000046459"
"1616","ENSSSCG00000047244"
"1617","ENSSSCG00000047250"
"1618","ENSSSCG00000047275"
"1619","ENSSSCG00000047377"
"1620","ENSSSCG00000047974"
"1621","ENSSSCG00000048122"
"1622","ENSSSCG00000048244"
"1623","ENSSSCG00000048549"
"1624","ENSSSCG00000048584"
"1625","ENSSSCG00000048698"
"1626","ENSSSCG00000048855"
"1627","ENSSSCG00000050605"
"1628","ENSSSCG00000050627"
"1629","ENSSSCG00000050649"
"1630","ENSSSCG00000050673"
"1631","ENSSSCG00000051418"
"1632","ENSSSCG00000051588"
"1633","ENSSSCG00000051731"
"1634","ENSSSCG00000000571"
"1635","ENSSSCG00000000588"
"1636","ENSSSCG00000000614"
"1637","ENSSSCG00000000687"
"1638","ENSSSCG00000000695"
"1639","ENSSSCG00000000952"
"1640","ENSSSCG00000001021"
"1641","ENSSSCG00000001382"
"1642","ENSSSCG00000001656"
"1643","ENSSSCG00000001682"
"1644","ENSSSCG00000001700"
"1645","ENSSSCG00000001867"
"1646","ENSSSCG00000001918"
"1647","ENSSSCG00000002629"
"1648","ENSSSCG00000002664"
"1649","ENSSSCG00000003073"
"1650","ENSSSCG00000003142"
"1651","ENSSSCG00000003160"
"1652","ENSSSCG00000003370"
"1653","ENSSSCG00000003399"
"1654","ENSSSCG00000003439"
"1655","ENSSSCG00000003572"
"1656","ENSSSCG00000003606"
"1657","ENSSSCG00000003617"
"1658","ENSSSCG00000003705"
"1659","ENSSSCG00000003779"
"1660","ENSSSCG00000003852"
"1661","ENSSSCG00000004155"
"1662","ENSSSCG00000004242"
"1663","ENSSSCG00000005022"
"1664","ENSSSCG00000005457"
"1665","ENSSSCG00000006338"
"1666","ENSSSCG00000006527"
"1667","ENSSSCG00000007564"
"1668","ENSSSCG00000007682"
"1669","ENSSSCG00000007710"
"1670","ENSSSCG00000008185"
"1671","ENSSSCG00000008389"
"1672","ENSSSCG00000008482"
"1673","ENSSSCG00000008564"
"1674","ENSSSCG00000009045"
"1675","ENSSSCG00000009638"
"1676","ENSSSCG00000009699"
"1677","ENSSSCG00000009898"
"1678","ENSSSCG00000009945"
"1679","ENSSSCG00000010047"
"1680","ENSSSCG00000010232"
"1681","ENSSSCG00000010273"
"1682","ENSSSCG00000010821"
"1683","ENSSSCG00000011212"
"1684","ENSSSCG00000011443"
"1685","ENSSSCG00000011531"
"1686","ENSSSCG00000011550"
"1687","ENSSSCG00000011552"
"1688","ENSSSCG00000011557"
"1689","ENSSSCG00000011621"
"1690","ENSSSCG00000013118"
"1691","ENSSSCG00000013125"
"1692","ENSSSCG00000013243"
"1693","ENSSSCG00000013900"
"1694","ENSSSCG00000013916"
"1695","ENSSSCG00000013990"
"1696","ENSSSCG00000015175"
"1697","ENSSSCG00000015329"
"1698","ENSSSCG00000015368"
"1699","ENSSSCG00000015998"
"1700","ENSSSCG00000016035"
"1701","ENSSSCG00000016416"
"1702","ENSSSCG00000017010"
