"","PC_L30_1.2_En.degree","PC_L30_1.2_En.betweenness","PC_L30_1.2_En.closeness","PC_L30_1.2_En.eigenCentrality","PC_L30_1.2_En.nNeg","PC_L30_1.2_En.nPos","PC_L30_1.2_En.mutualInfo","PC_L30_1.2_En.variance","PC_L30_1.2_En.partialVar","PC_L70_1.2_En.degree","PC_L70_1.2_En.betweenness","PC_L70_1.2_En.closeness","PC_L70_1.2_En.eigenCentrality","PC_L70_1.2_En.nNeg","PC_L70_1.2_En.nPos","PC_L70_1.2_En.mutualInfo","PC_L70_1.2_En.variance","PC_L70_1.2_En.partialVar"
"ENSSSCG00000000906",40,1.26935312831389,0.0125,0.778170364891231,17,23,0.00160491394766776,1.0016062025113,1,57,28.7100840336135,0.0158730158730159,0.999999999999999,29,28,0.000579147055251302,1.00057931479328,1
"ENSSSCG00000001906",57,33.5022101823186,0.0158730158730159,1,33,24,0.00137336563075582,1.00137430912921,1,41,1.28525980911983,0.0126582278481013,0.790111447408789,22,19,0.000655860490558813,1.00065607561408,1
"ENSSSCG00000002882",35,2.38892107812481,0.0117647058823529,0.606864252386969,14,21,0.00135948841844429,1.00136041294174,1,41,1.28525980911983,0.0126582278481013,0.790111447408789,20,21,0.000655860490558813,1.00065607561408,1
"ENSSSCG00000003212",40,1.26935312831389,0.0125,0.778170364891231,24,16,0.00160491394767434,1.0016062025113,1,57,28.7100840336135,0.0158730158730159,1,29,28,0.000579147055263293,1.00057931479328,1
"ENSSSCG00000003225",41,2.69050158769765,0.0126582278481013,0.792326944939736,18,23,0.00162269361046877,1.00162401089015,1,35,1.19105691056911,0.0117647058823529,0.611097776132327,12,23,0.000540379531386782,1.0005405255627,1
"ENSSSCG00000003482",36,3.33897267771201,0.0119047619047619,0.62544892268217,15,21,0.00137676362440842,1.00137771179853,1,35,1.19105691056911,0.0117647058823529,0.611097776132327,12,23,0.000540379531386571,1.00054052556271,1
"ENSSSCG00000004119",41,2.83625067005663,0.0126582278481013,0.791913150452276,24,17,0.00162293616125627,1.00162425383487,1,38,0,0.0121951219512195,0.744284502384775,19,19,0.0004789420623421,1.00047905677341,1
"ENSSSCG00000004760",40,1.26935312831389,0.0125,0.778170364891231,17,23,0.00160491394767201,1.0016062025113,1,43,24.3529411764706,0.012987012987013,0.690858963292599,17,26,0.000556934973902825,1.00055709009098,1
"ENSSSCG00000006399",34,1.21138211382114,0.0116279069767442,0.588930929462063,14,20,0.00134146614246532,1.00134236631065,1,35,1.19105691056911,0.0117647058823529,0.611097776132327,24,11,0.000540379531385041,1.0005405255627,1
"ENSSSCG00000006579",57,33.5022101823186,0.0158730158730159,1,25,32,0.00137336563075114,1.00137430912921,1,35,1.19105691056911,0.0117647058823529,0.611097776132327,24,11,0.000540379531385041,1.00054052556271,1
"ENSSSCG00000007508",34,1.21138211382114,0.0116279069767442,0.588930929462063,14,20,0.0013414661424649,1.00134236631065,1,41,1.28525980911983,0.0126582278481013,0.790111447408789,22,19,0.00065586049054377,1.00065607561408,1
"ENSSSCG00000007968",40,1.26935312831389,0.0125,0.778170364891232,17,23,0.00160491394766862,1.0016062025113,1,35,1.19105691056911,0.0117647058823529,0.611097776132327,24,11,0.000540379531388531,1.00054052556271,1
"ENSSSCG00000008574",40,1.26935312831389,0.0125,0.778170364891231,24,16,0.00160491394766862,1.0016062025113,1,57,28.7100840336135,0.0158730158730159,1,29,28,0.000579147055247382,1.00057931479328,1
"ENSSSCG00000009209",34,1.21138211382114,0.0116279069767442,0.588930929462063,14,20,0.00134146614247338,1.00134236631064,1,41,1.28525980911983,0.0126582278481013,0.790111447408789,20,21,0.00065586049055489,1.00065607561408,1
"ENSSSCG00000009558",40,1.26935312831389,0.0125,0.778170364891232,24,16,0.00160491394766713,1.0016062025113,1,35,1.19105691056911,0.0117647058823529,0.611097776132327,24,11,0.0005403795313857,1.00054052556271,1
"ENSSSCG00000009616",40,1.26935312831389,0.0125,0.778170364891232,24,16,0.00160491394766692,1.0016062025113,1,41,1.28525980911983,0.0126582278481013,0.790111447408789,20,21,0.000655860490546171,1.00065607561408,1
"ENSSSCG00000012909",34,1.21138211382114,0.0116279069767442,0.588930929462063,21,13,0.00134146614247337,1.00134236631064,1,57,28.7100840336135,0.0158730158730159,1,29,28,0.000579147055243024,1.00057931479328,1
"ENSSSCG00000012993",40,1.26935312831389,0.0125,0.778170364891231,24,16,0.00160491394767116,1.0016062025113,1,41,1.28525980911983,0.0126582278481013,0.790111447408789,20,21,0.000655860490552274,1.00065607561408,1
